per-clip median error (metres)
SNGS-021  gt=0.63  ours=0.83  soccernet=2.14
SNGS-022  gt=0.59  ours=0.72  soccernet=18.49
SNGS-023  gt=0.96  ours=3.93  soccernet=1.71
SNGS-024  gt=1.00  ours=1.47  soccernet=10.43
SNGS-025  gt=0.42  ours=0.88  soccernet=0.82
SNGS-026  gt=0.44  ours=0.75  soccernet=0.56
SNGS-027  gt=0.43  ours=0.68  soccernet=0.52
SNGS-028  gt=0.52  ours=0.88  soccernet=1.33
SNGS-029  gt=0.70  ours=1.00  soccernet=1.09
SNGS-030  gt=0.56  ours=0.97  soccernet=0.50
SNGS-031  gt=0.53  ours=1.50  soccernet=1.13
SNGS-032  gt=0.72  ours=1.01  soccernet=1.25
SNGS-033  gt=0.48  ours=0.89  soccernet=0.75
SNGS-034  gt=0.58  ours=1.59  soccernet=1.09
SNGS-035  gt=0.58  ours=0.66  soccernet=14.79
SNGS-036  gt=0.75  ours=0.75  soccernet=1.32
SNGS-037  gt=0.67  ours=0.95  soccernet=1.02
SNGS-038  gt=0.26  ours=1.41  soccernet=1.02
SNGS-039  gt=0.38  ours=0.63  soccernet=0.59
SNGS-040  gt=0.48  ours=0.97  soccernet=1.11
SNGS-041  gt=0.42  ours=0.58  soccernet=17.55
SNGS-042  gt=0.35  ours=0.68  soccernet=0.51
SNGS-043  gt=0.42  ours=0.79  soccernet=0.96
SNGS-044  gt=0.50  ours=0.70  soccernet=1.29
SNGS-045  gt=0.27  ours=0.42  soccernet=0.56
SNGS-046  gt=0.49  ours=0.78  soccernet=0.63
SNGS-047  gt=0.31  ours=0.65  soccernet=1.21
SNGS-048  gt=0.36  ours=0.60  soccernet=0.63
SNGS-049  gt=0.54  ours=0.89  soccernet=1.16
SNGS-050  gt=0.35  ours=0.92  soccernet=0.91
SNGS-051  gt=0.48  ours=0.70  soccernet=18.04
SNGS-052  gt=0.37  ours=0.76  soccernet=0.95
SNGS-053  gt=0.35  ours=0.63  soccernet=0.64
SNGS-054  gt=0.45  ours=0.76  soccernet=1.01
SNGS-055  gt=2.03  ours=2.44  soccernet=21.72
SNGS-056  gt=0.39  ours=0.59  soccernet=0.82
SNGS-057  gt=0.35  ours=0.67  soccernet=12.89
SNGS-058  gt=0.42  ours=0.68  soccernet=1.07
SNGS-059  gt=0.46  ours=0.82  soccernet=0.59
SNGS-078  gt=0.38  ours=1.09  soccernet=0.85
SNGS-079  gt=0.51  ours=1.28  soccernet=0.94
SNGS-080  gt=0.48  ours=1.07  soccernet=0.62
SNGS-081  gt=0.64  ours=0.78  soccernet=8.49
SNGS-082  gt=0.34  ours=0.78  soccernet=0.96
SNGS-083  gt=0.35  ours=0.65  soccernet=0.67
SNGS-084  gt=0.53  ours=1.10  soccernet=1.06
SNGS-085  gt=0.82  ours=0.97  soccernet=8.56
SNGS-086  gt=0.35  ours=0.69  soccernet=0.61
SNGS-087  gt=0.94  ours=1.84  soccernet=1.76
SNGS-088  gt=0.41  ours=0.82  soccernet=0.88
SNGS-089  gt=0.83  ours=1.26  soccernet=1.10
SNGS-090  gt=0.27  ours=0.85  soccernet=0.66
SNGS-091  gt=0.51  ours=0.79  soccernet=0.80
SNGS-092  gt=0.49  ours=0.69  soccernet=0.78
SNGS-093  gt=0.44  ours=0.65  soccernet=0.82
SNGS-094  gt=0.46  ours=0.72  soccernet=0.99
SNGS-095  gt=0.57  ours=0.73  soccernet=10.14
SNGS-096  gt=0.78  ours=0.94  soccernet=0.81

=== experiment 1: player localization error (metres) ===
ours (gt lines)            N=696776  median= 0.48  mean=  2.95  p90=  1.78  <1m=78.1%  <2m=91.2%  <5m=96.8%
ours (soccernet inputs)    N=569075  median= 0.84  mean=  8.70  p90=  3.60  <1m=57.6%  <2m=80.3%  <5m=93.0%
soccernet                  N=569075  median= 0.98  mean=  7.90  p90= 20.22  <1m=50.7%  <2m=69.7%  <5m=78.9%
